user_id,subscription_date,platform,plan_type,monthly_price,status,country,watch_hours_monthly,content_watched,churn_date
1001,2025-01-15,Netflix,Premium,19.99,active,USA,45.5,28,
1002,2025-01-18,Disney+,Standard,10.99,active,USA,32.0,15,
1003,2025-02-01,Max,Basic,9.99,active,UK,28.3,22,
1004,2025-02-05,Netflix,Standard,15.49,active,Canada,52.1,35,
1005,2025-02-10,AppleTV+,Family,6.99,active,USA,18.5,12,
1006,2025-03-01,Peacock,Premium,11.99,churned,USA,15.2,8,2025-08-15
1007,2025-03-15,Paramount+,Essential,5.99,active,USA,25.0,18,
1008,2025-04-01,Netflix,Premium,19.99,active,UK,65.8,42,
1009,2025-04-10,Disney+,Standard,10.99,active,Canada,28.9,16,
1010,2025-05-01,Max,Premium,15.99,active,USA,42.3,31,
1011,2025-05-15,Netflix,Basic,9.99,churned,USA,12.1,7,2025-09-20
1012,2025-06-01,AppleTV+,Individual,6.99,active,UK,22.4,14,
1013,2025-06-15,Disney+,Premium,13.99,active,USA,38.7,25,
1014,2025-07-01,Netflix,Standard,15.49,active,Canada,48.2,33,
1015,2025-07-20,Max,Basic,9.99,active,UK,31.5,20,
1016,2025-08-01,Paramount+,ShowTime,11.99,active,USA,29.8,19,
1017,2025-08-15,Netflix,Premium,19.99,active,USA,58.4,38,
1018,2025-09-01,Disney+,Standard,10.99,active,Canada,35.2,21,
1019,2025-09-15,Peacock,Premium,11.99,active,USA,27.6,17,
1020,2025-10-01,Netflix,Standard,15.49,active,UK,44.9,29,
